
---------- Begin Simulation Statistics ----------
simSeconds                                   0.029313                       # Number of seconds simulated (Second)
simTicks                                  29312644500                       # Number of ticks simulated (Tick)
finalTick                                 29312644500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    216.39                       # Real time elapsed on the host (Second)
hostTickRate                                135461102                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     748924                       # Number of bytes of host memory used (Byte)
simInsts                                    100000005                       # Number of instructions simulated (Count)
simOps                                      110833155                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   462125                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     512188                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         58625290                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.586253                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.705749                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       148629600                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    20886                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      125842513                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  78633                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             37817298                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         120895698                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  58                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            58544236                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.149529                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.911458                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  13669523     23.35%     23.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  12355674     21.10%     44.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  11357861     19.40%     63.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   7561395     12.92%     76.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   6130098     10.47%     87.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3410041      5.82%     93.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2413131      4.12%     97.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1134555      1.94%     99.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    511958      0.87%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              58544236                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  700262     57.20%     57.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     57.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     57.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     57.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     57.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     57.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     57.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     57.20% # attempts to use FU when none available (Count)
