
---------- Begin Simulation Statistics ----------
simSeconds                                   0.027595                       # Number of seconds simulated (Second)
simTicks                                  27595327500                       # Number of ticks simulated (Tick)
finalTick                                 27595327500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    210.38                       # Real time elapsed on the host (Second)
hostTickRate                                131168996                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     748924                       # Number of bytes of host memory used (Byte)
simInsts                                    100000005                       # Number of instructions simulated (Count)
simOps                                      110833155                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   475330                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     526823                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         55190656                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.551907                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.811901                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       142393993                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    20884                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      123037770                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  49979                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             31581689                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         103675733                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  56                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            55112523                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.232483                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.908093                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  11426550     20.73%     20.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  11869445     21.54%     42.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  11144717     20.22%     62.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   7315876     13.27%     75.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   6023565     10.93%     86.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3341071      6.06%     92.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2338770      4.24%     97.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1121204      2.03%     99.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    531325      0.96%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              55112523                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  742331     59.57%     59.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     59.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     59.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     59.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     59.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     59.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     59.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     59.57% # attempts to use FU when none available (Count)
