
---------- Begin Simulation Statistics ----------
simSeconds                                   0.027595                       # Number of seconds simulated (Second)
simTicks                                  27594920000                       # Number of ticks simulated (Tick)
finalTick                                 27594920000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    206.84                       # Real time elapsed on the host (Second)
hostTickRate                                133413099                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     748924                       # Number of bytes of host memory used (Byte)
simInsts                                    100000005                       # Number of instructions simulated (Count)
simOps                                      110833155                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   483470                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     535845                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         55189841                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.551898                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.811928                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       142394466                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    20882                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      123038200                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  49876                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             31582160                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         103678259                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  54                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            55112233                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.232503                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.908325                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  11426696     20.73%     20.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  11869854     21.54%     42.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  11148287     20.23%     62.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   7313155     13.27%     75.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   6018033     10.92%     86.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3345140      6.07%     92.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2334858      4.24%     96.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1124353      2.04%     99.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    531857      0.97%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              55112233                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  743838     59.52%     59.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     59.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     59.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     59.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     59.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     59.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     59.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     59.52% # attempts to use FU when none available (Count)
